code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref	muni
28107	須磨区	すまく	Suma Ward	須磨	すま	Suma	41	28	28100			28100
28108	垂水区	たるみく	Tarumi Ward	垂水	たるみ	Tarumi	41	28	28100			28100
28109	北区	きたく	Kita Ward	北	きた	Kita	41	28	28100			28100
28110	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	28	28100			28100
28111	西区	にしく	Nishi Ward	西	にし	Nishi	41	28	28100			28100
33101	北区	きたく	Kita Ward	北	きた	Kita	41	33	33100			33100
33102	中区	なかく	Naka Ward	中	なか	Naka	41	33	33100			33100
33103	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	33	33100			33100
33104	南区	みなみく	Minami Ward	南	みなみ	Minami	41	33	33100			33100
34101	中区	なかく	Naka Ward	中	なか	Naka	41	34	34100			34100
34102	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	34	34100			34100
34103	南区	みなみく	Minami Ward	南	みなみ	Minami	41	34	34100			34100
34104	西区	にしく	Nishi Ward	西	にし	Nishi	41	34	34100			34100
34105	安佐南区	あさみなみく	Asaminami Ward	安佐南	あさみなみ	Asaminami	41	34	34100			34100
34106	安佐北区	あさきたく	Asakita Ward	安佐北	あさきた	Asakita	41	34	34100			34100
34107	安芸区	あきく	Aki Ward	安芸	あき	Aki	41	34	34100			34100
34108	佐伯区	さえきく	Saeki Ward	佐伯	さえき	Saeki	41	34	34100			34100
40101	門司区	もじく	Moji Ward	門司	もじ	Moji	41	40	40100			40100
40103	若松区	わかまつく	Wakamatsu Ward	若松	わかまつ	Wakamatsu	41	40	40100			40100
40105	戸畑区	とばたく	Tobata Ward	戸畑	とばた	Tobata	41	40	40100			40100
40106	小倉北区	こくらきたく	Kokurakita Ward	小倉北	こくらきた	Kokurakita	41	40	40100			40100
40107	小倉南区	こくらみなみく	Kokuraminami Ward	小倉南	こくらみなみ	Kokuraminami	41	40	40100			40100
40108	八幡東区	やはたひがしく	Yahatahigashi Ward	八幡東	やはたひがし	Yahatahigashi	41	40	40100			40100
40109	八幡西区	やはたにしく	Yahatanishi Ward	八幡西	やはたにし	Yahatanishi	41	40	40100			40100
40131	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	40	40130			40130
40132	博多区	はかたく	Hakata Ward	博多	はかた	Hakata	41	40	40130			40130
40133	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	40	40130			40130
40134	南区	みなみく	Minami Ward	南	みなみ	Minami	41	40	40130			40130
40135	西区	にしく	Nishi Ward	西	にし	Nishi	41	40	40130			40130
40136	城南区	じょうなんく	Jonan Ward	城南	じょうなん	Jonan	41	40	40130			40130
40137	早良区	さわらく	Sawara Ward	早良	さわら	Sawara	41	40	40130			40130
43101	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	43	43100			43100
43102	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	43	43100			43100
43103	西区	にしく	Nishi Ward	西	にし	Nishi	41	43	43100			43100
43104	南区	みなみく	Minami Ward	南	みなみ	Minami	41	43	43100			43100
43105	北区	きたく	Kita Ward	北	きた	Kita	41	43	43100			43100
