code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref
20543	高山村	たかやまむら	Takayama Village	高山	たかやま	Takayama	36	20	20540	20540	
20561	山ノ内町	やまのうちまち	Yamanouchi Town	山ノ内	やまのうち	Yamanouchi	34	20	20560	20560	
20562	木島平村	きじまだいらむら	Kijimadaira Village	木島平	きじまだいら	Kijimadaira	36	20	20560	20560	
20563	野沢温泉村	のざわおんせんむら	Nozawaonsen Village	野沢温泉	のざわおんせん	Nozawaonsen	36	20	20560	20560	
20583	信濃町	しなのまち	Shinano Town	信濃	しなの	Shinano	34	20	20580	20580	
20588	小川村	おがわむら	Ogawa Village	小川	おがわ	Ogawa	36	20	20580	20580	
20590	飯綱町	いいづなまち	Iizuna Town	飯綱	いいづな	Iizuna	34	20	20580	20580	
20602	栄村	さかえむら	Sakae Village	栄	さかえ	Sakae	36	20	20600	20600	
21201	岐阜市	ぎふし	Gifu City	岐阜	ぎふ	Gifu	32	21	21200		
21202	大垣市	おおがきし	Ogaki City	大垣	おおがき	Ogaki	32	21	21200		
21203	高山市	たかやまし	Takayama City	高山	たかやま	Takayama	32	21	21200		
21204	多治見市	たじみし	Tajimi City	多治見	たじみ	Tajimi	32	21	21200		
21205	関市	せきし	Seki City	関	せき	Seki	32	21	21200		
21206	中津川市	なかつがわし	Nakatsugawa City	中津川	なかつがわ	Nakatsugawa	32	21	21200		
21207	美濃市	みのし	Mino City	美濃	みの	Mino	32	21	21200		
21208	瑞浪市	みずなみし	Mizunami City	瑞浪	みずなみ	Mizunami	32	21	21200		
21209	羽島市	はしまし	Hashima City	羽島	はしま	Hashima	32	21	21200		
21210	恵那市	えなし	Ena City	恵那	えな	Ena	32	21	21200		
21211	美濃加茂市	みのかもし	Minokamo City	美濃加茂	みのかも	Minokamo	32	21	21200		
21212	土岐市	ときし	Toki City	土岐	とき	Toki	32	21	21200		
21213	各務原市	かかみがはらし	Kakamigahara City	各務原	かかみがはら	Kakamigahara	32	21	21200		
21214	可児市	かにし	Kani City	可児	かに	Kani	32	21	21200		
21215	山県市	やまがたし	Yamagata City	山県	やまがた	Yamagata	32	21	21200		
21216	瑞穂市	みずほし	Mizuho City	瑞穂	みずほ	Mizuho	32	21	21200		
21217	飛騨市	ひだし	Hida City	飛騨	ひだ	Hida	32	21	21200		
21218	本巣市	もとすし	Motosu City	本巣	もとす	Motosu	32	21	21200		
21219	郡上市	ぐじょうし	Gujo City	郡上	ぐじょう	Gujo	32	21	21200		
21220	下呂市	げろし	Gero City	下呂	げろ	Gero	32	21	21200		
21221	海津市	かいづし	Kaizu City	海津	かいづ	Kaizu	32	21	21200		
21302	岐南町	ぎなんちょう	Ginan Town	岐南	ぎなん	Ginan	35	21	21300	21300	
21303	笠松町	かさまつちょう	Kasamatsu Town	笠松	かさまつ	Kasamatsu	35	21	21300	21300	
21341	養老町	ようろうちょう	Yoro Town	養老	ようろう	Yoro	35	21	21340	21340	
21361	垂井町	たるいちょう	Tarui Town	垂井	たるい	Tarui	35	21	21360	21360	
21362	関ケ原町	せきがはらちょう	Sekigahara Town	関ケ原	せきがはら	Sekigahara	35	21	21360	21360	
21381	神戸町	ごうどちょう	Godo Town	神戸	ごうど	Godo	35	21	21380	21380	
21382	輪之内町	わのうちちょう	Wanouchi Town	輪之内	わのうち	Wanouchi	35	21	21380	21380	
21383	安八町	あんぱちちょう	Anpachi Town	安八	あんぱち	Anpachi	35	21	21380	21380	
21401	揖斐川町	いびがわちょう	Ibigawa Town	揖斐川	いびがわ	Ibigawa	35	21	21400	21400	
21403	大野町	おおのちょう	Ono Town	大野	おおの	Ono	35	21	21400	21400	
21404	池田町	いけだちょう	Ikeda Town	池田	いけだ	Ikeda	35	21	21400	21400	
21421	北方町	きたがたちょう	Kitagata Town	北方	きたがた	Kitagata	35	21	21420	21420	
21501	坂祝町	さかほぎちょう	Sakahogi Town	坂祝	さかほぎ	Sakahogi	35	21	21500	21500	
21502	富加町	とみかちょう	Tomika Town	富加	とみか	Tomika	35	21	21500	21500	
21503	川辺町	かわべちょう	Kawabe Town	川辺	かわべ	Kawabe	35	21	21500	21500	
21504	七宗町	ひちそうちょう	Hichiso Town	七宗	ひちそう	Hichiso	35	21	21500	21500	
21505	八百津町	やおつちょう	Yaotsu Town	八百津	やおつ	Yaotsu	35	21	21500	21500	
