code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref
13300	西多摩郡	にしたまぐん	Nishitama County	西多摩	にしたま	Nishitama	24	13
13360	大島支庁	おおしましちょう	Oshima Branch Office	大島	おおしま	Oshima	27	13
13380	三宅支庁	みやけしちょう	Miyake Branch Office	三宅	みやけ	Miyake	27	13
13400	八丈支庁	はちじょうしちょう	Hachijo Branch Office	八丈	はちじょう	Hachijo	27	13
13420	小笠原支庁	おがさわらしちょう	Ogasawara Branch Office	小笠原	おがさわら	Ogasawara	27	13
14100	横浜市	よこはまし	Yokohama City	横浜	よこはま	Yokohama	21	14
14130	川崎市	かわさきし	Kawasaki City	川崎	かわさき	Kawasaki	21	14
14150	相模原市	さがみはらし	Sagamihara City	相模原	さがみはら	Sagamihara	21	14
14200	市部	しぶ	City Area				23	14
14300	三浦郡	みうらぐん	Miura County	三浦	みうら	Miura	24	14
14320	高座郡	こうざぐん	Koza County	高座	こうざ	Koza	24	14
14340	中郡	なかぐん	Naka County	中	なか	Naka	24	14
14360	足柄上郡	あしがらかみぐん	Ashigarakami County	足柄上	あしがらかみ	Ashigarakami	24	14
14380	足柄下郡	あしがらしもぐん	Ashigarashimo County	足柄下	あしがらしも	Ashigarashimo	24	14
14400	愛甲郡	あいこうぐん	Aiko County	愛甲	あいこう	Aiko	24	14
15100	新潟市	にいがたし	Niigata City	新潟	にいがた	Niigata	21	15
15200	市部	しぶ	City Area				23	15
15300	北蒲原郡	きたかんばらぐん	Kitakanbara County	北蒲原	きたかんばら	Kitakanbara	24	15
15340	西蒲原郡	にしかんばらぐん	Nishikanbara County	西蒲原	にしかんばら	Nishikanbara	24	15
15360	南蒲原郡	みなみかんばらぐん	Minamikanbara County	南蒲原	みなみかんばら	Minamikanbara	24	15
15380	東蒲原郡	ひがしかんばらぐん	Higashikanbara County	東蒲原	ひがしかんばら	Higashikanbara	24	15
15400	三島郡	さんとうぐん	Santo County	三島	さんとう	Santo	24	15
15460	南魚沼郡	みなみうおぬまぐん	Minamiuonuma County	南魚沼	みなみうおぬま	Minamiuonuma	24	15
15480	中魚沼郡	なかうおぬまぐん	Nakauonuma County	中魚沼	なかうおぬま	Nakauonuma	24	15
15500	刈羽郡	かりわぐん	Kariwa County	刈羽	かりわ	Kariwa	24	15
15580	岩船郡	いわふねぐん	Iwafune County	岩船	いわふね	Iwafune	24	15
16200	市部	しぶ	City Area				23	16
16320	中新川郡	なかにいかわぐん	Nakaniikawa County	中新川	なかにいかわ	Nakaniikawa	24	16
16340	下新川郡	しもにいかわぐん	Shimoniikawa County	下新川	しもにいかわ	Shimoniikawa	24	16
17200	市部	しぶ	City Area				23	17
17320	能美郡	のみぐん	Nomi County	能美	のみ	Nomi	24	17
17360	河北郡	かほくぐん	Kahoku County	河北	かほく	Kahoku	24	17
17380	羽咋郡	はくいぐん	Hakui County	羽咋	はくい	Hakui	24	17
17400	鹿島郡	かしまぐん	Kashima County	鹿島	かしま	Kashima	24	17
17460	鳳珠郡	ほうすぐん	Hosu County	鳳珠	ほうす	Hosu	24	17
18200	市部	しぶ	City Area				23	18
18320	吉田郡	よしだぐん	Yoshida County	吉田	よしだ	Yoshida	24	18
18380	今立郡	いまだてぐん	Imadate County	今立	いまだて	Imadate	24	18
18400	南条郡	なんじょうぐん	Nanjo County	南条	なんじょう	Nanjo	24	18
18420	丹生郡	にゅうぐん	Nyu County	丹生	にゅう	Nyu	24	18
18440	三方郡	みかたぐん	Mikata County	三方	みかた	Mikata	24	18
18480	大飯郡	おおいぐん	Oi County	大飯	おおい	Oi	24	18
18500	三方上中郡	みかたかみなかぐん	Mikatakaminaka County	三方上中	みかたかみなか	Mikatakaminaka	24	18
19200	市部	しぶ	City Area				23	19
19340	西八代郡	にしやつしろぐん	Nishiyatsushiro County	西八代	にしやつしろ	Nishiyatsushiro	24	19
19360	南巨摩郡	みなみこまぐん	Minamikoma County	南巨摩	みなみこま	Minamikoma	24	19
19380	中巨摩郡	なかこまぐん	Nakakoma County	中巨摩	なかこま	Nakakoma	24	19
19420	南都留郡	みなみつるぐん	Minamitsuru County	南都留	みなみつる	Minamitsuru	24	19
19440	北都留郡	きたつるぐん	Kitatsuru County	北都留	きたつる	Kitatsuru	24	19
20200	市部	しぶ	City Area				23	20
20300	南佐久郡	みなみさくぐん	Minamisaku County	南佐久	みなみさく	Minamisaku	24	20
20320	北佐久郡	きたさくぐん	Kitasaku County	北佐久	きたさく	Kitasaku	24	20
20340	小県郡	ちいさがたぐん	Chiisagata County	小県	ちいさがた	Chiisagata	24	20
20360	諏訪郡	すわぐん	Suwa County	諏訪	すわ	Suwa	24	20
20380	上伊那郡	かみいなぐん	Kamiina County	上伊那	かみいな	Kamiina	24	20
20400	下伊那郡	しもいなぐん	Shimoina County	下伊那	しもいな	Shimoina	24	20
20420	木曽郡	きそぐん	Kiso County	木曽	きそ	Kiso	24	20
20440	東筑摩郡	ひがしちくまぐん	Higashichikuma County	東筑摩	ひがしちくま	Higashichikuma	24	20
20480	北安曇郡	きたあづみぐん	Kitaazumi County	北安曇	きたあづみ	Kitaazumi	24	20
20520	埴科郡	はにしなぐん	Hanishina County	埴科	はにしな	Hanishina	24	20
20540	上高井郡	かみたかいぐん	Kamitakai County	上高井	かみたかい	Kamitakai	24	20
20560	下高井郡	しもたかいぐん	Shimotakai County	下高井	しもたかい	Shimotakai	24	20
20580	上水内郡	かみみのちぐん	Kamiminochi County	上水内	かみみのち	Kamiminochi	24	20
20600	下水内郡	しもみのちぐん	Shimominochi County	下水内	しもみのち	Shimominochi	24	20
21200	市部	しぶ	City Area				23	21
21300	羽島郡	はしまぐん	Hashima County	羽島	はしま	Hashima	24	21
21340	養老郡	ようろうぐん	Yoro County	養老	ようろう	Yoro	24	21
21360	不破郡	ふわぐん	Fuwa County	不破	ふわ	Fuwa	24	21
21380	安八郡	あんぱちぐん	Anpachi County	安八	あんぱち	Anpachi	24	21
21400	揖斐郡	いびぐん	Ibi County	揖斐	いび	Ibi	24	21
21420	本巣郡	もとすぐん	Motosu County	本巣	もとす	Motosu	24	21
21500	加茂郡	かもぐん	Kamo County	加茂	かも	Kamo	24	21
21520	可児郡	かにぐん	Kani County	可児	かに	Kani	24	21
21600	大野郡	おおのぐん	Ono County	大野	おおの	Ono	24	21
22100	静岡市	しずおかし	Shizuoka City	静岡	しずおか	Shizuoka	21	22
22130	浜松市	はままつし	Hamamatsu City	浜松	はままつ	Hamamatsu	21	22
22200	市部	しぶ	City Area				23	22
22300	賀茂郡	かもぐん	Kamo County	賀茂	かも	Kamo	24	22
22320	田方郡	たがたぐん	Tagata County	田方	たがた	Tagata	24	22
22340	駿東郡	すんとうぐん	Sunto County	駿東	すんとう	Sunto	24	22
22420	榛原郡	はいばらぐん	Haibara County	榛原	はいばら	Haibara	24	22
22460	周智郡	しゅうちぐん	Shuchi County	周智	しゅうち	Shuchi	24	22
23100	名古屋市	なごやし	Nagoya City	名古屋	なごや	Nagoya	21	23
23200	市部	しぶ	City Area				23	23
23300	愛知郡	あいちぐん	Aichi County	愛知	あいち	Aichi	24	23
23340	西春日井郡	にしかすがいぐん	Nishikasugai County	西春日井	にしかすがい	Nishikasugai	24	23
23360	丹羽郡	にわぐん	Niwa County	丹羽	にわ	Niwa	24	23
23420	海部郡	あまぐん	Ama County	海部	あま	Ama	24	23
23440	知多郡	ちたぐん	Chita County	知多	ちた	Chita	24	23
23500	額田郡	ぬかたぐん	Nukata County	額田	ぬかた	Nukata	24	23
23560	北設楽郡	きたしたらぐん	Kitashitara County	北設楽	きたしたら	Kitashitara	24	23
24200	市部	しぶ	City Area				23	24
24300	桑名郡	くわなぐん	Kuwana County	桑名	くわな	Kuwana	24	24
24320	員弁郡	いなべぐん	Inabe County	員弁	いなべ	Inabe	24	24
24340	三重郡	みえぐん	Mie County	三重	みえ	Mie	24	24
24440	多気郡	たきぐん	Taki County	多気	たき	Taki	24	24
24460	度会郡	わたらいぐん	Watarai County	度会	わたらい	Watarai	24	24
24540	北牟婁郡	きたむろぐん	Kitamuro County	北牟婁	きたむろ	Kitamuro	24	24
24560	南牟婁郡	みなみむろぐん	Minamimuro County	南牟婁	みなみむろ	Minamimuro	24	24
25200	市部	しぶ	City Area				23	25
25380	蒲生郡	がもうぐん	Gamo County	蒲生	がもう	Gamo	24	25
25420	愛知郡	えちぐん	Echi County	愛知	えち	Echi	24	25
25440	犬上郡	いぬかみぐん	Inukami County	犬上	いぬかみ	Inukami	24	25
26100	京都市	きょうとし	Kyoto City	京都	きょうと	Kyoto	21	26
26200	市部	しぶ	City Area				23	26
